hack-id,id,make_id,model_id,submodel_id,year,make,model,series,submodel,trim,description,msrp,invoice,created,modified,trim_id,trim_description,type,doors,length,width,seats,height,wheel_base,front_track,rear_track,ground_clearance,cargo_capacity,max_cargo_capacity,curb_weight,gross_weight,max_payload,max_towing_capacity,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,fuel_tank_capacity,combined_mpg,epa_city_mpg,epa_highway_mpg,range_city,range_highway,battery_capacity_electric,epa_time_to_charge_hr_240v_electric,epa_kwh_100_mi_electric,range_electric,epa_highway_mpg_electric,epa_city_mpg_electric,epa_combined_mpg_electric,estimated_current_cost,expected_value_2027,img_path
2021-4Runner-SR5 Premium-SR5 Premium 4dr SUV (4.0L 6cyl 5A),20669,22,4841,66853,2021,Toyota,4Runner,,SR5,SR5,SR5 Premium 4dr SUV (4.0L 6cyl 5A),36690,33754,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20669,SR5 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,,19078.8,15684.975,
2022-Camry-LE-LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),17902,22,4779,68423,2022,Toyota,Camry,,Hybrid LE,LE,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),26790,24647,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17902,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,190.9,71.7,5,57.9,109.3,,,6.1,13.1,,3485.0,,,,hybrid,regular unleaded,I4,2.5,200,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,17.0,40,42,38,714,646,,,,,,,,16341.9,12055.5,
2025-Corolla-SE-SE 4dr Hatchback (2.0L 4cyl 6M),8881,22,3917,73513,2025,Toyota,Corolla,,SE,SE,SE 4dr Hatchback (2.0L 4cyl 6M),20290,18786,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8881,SE 4dr Sedan (2.0L 4cyl CVT),Sedan,4,182.5,70.1,5,56.5,106.3,,,5.1,13.1,,3110.0,,,,gas,regular unleaded,I4,2.0,169,6600,151.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,34,31,40,409,528,,,,,,,,20290.0,14608.8,
2021-Tacoma-TRD Sport-TRD Sport 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6M),20782,22,5688,66877,2021,Toyota,Tacoma,,TRD Sport,TRD Sport,TRD Sport 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6M),31680,29700,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20782,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,4060.0,5600.0,1370.0,6800.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,16473.600000000002,13543.199999999999,
2021-4Runner-SR5 Premium-SR5 Premium 4dr SUV (4.0L 6cyl 5A),20669,22,4841,66853,2021,Toyota,4Runner,,SR5,SR5,SR5 Premium 4dr SUV (4.0L 6cyl 5A),36690,33754,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20669,SR5 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,,19078.8,15684.975,
2021-Camry-LE-LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),20693,22,4779,66829,2021,Toyota,Camry,,Hybrid LE,LE,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),26790,24647,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20693,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,190.9,71.7,5,57.9,109.3,,,6.1,13.1,,3485.0,,,,hybrid,regular unleaded,I4,2.5,200,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,17.0,41,43,39,731,663,,,,,,,,13930.800000000001,11452.725,
2021-4Runner-Trail-Trail 4dr SUV 4WD (4.0L 6cyl 5A),20673,22,4841,66854,2021,Toyota,4Runner,,TRAIL,Trail,Trail 4dr SUV 4WD (4.0L 6cyl 5A),36915,33962,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20673,Trail 4dr SUV 4WD (4.0L 6cyl 5A),SUV,5,191.3,75.8,5,71.5,109.8,,,9.6,46.3,88.8,4750.0,6300.0,1550.0,4900.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed shiftable automatic,23.0,18,17,21,391,483,,,,,,,,19195.8,15781.1625,
2022-Tacoma-TRD Off Road-TRD Off Road 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),18003,22,5688,68480,2022,Toyota,Tacoma,,TRD Off-Road,TRD Off Road,TRD Off Road 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),32195,29827,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,18003,TRD Off Road 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,75.2,4,70.6,127.4,,,9.4,,,4305.0,5600.0,1295.0,6700.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed automatic,21.1,20,18,23,380,485,,,,,,,,19638.95,14487.75,
2022-4Runner-SR5-SR5 4dr SUV 4WD (4.0L 6cyl 5A),17879,22,4841,68449,2022,Toyota,4Runner,,SR5,SR5,SR5 4dr SUV 4WD (4.0L 6cyl 5A),36085,33198,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17879,SR5 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,18,17,21,391,483,,,,,,,,22011.85,16238.25,
2020-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl 6A),23521,22,4779,65276,2020,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (2.5L 4cyl 6A),26150,23797,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23521,XLE 4dr Sedan (2.5L 4cyl 6A),Sedan,4,190.9,71.7,5,57.9,109.3,,,,15.4,,3340.0,,,,gas,regular unleaded,I4,2.5,178,6000,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,17.0,28,25,35,425,595,,,,,,,,11767.5,10721.5,
2020-4Runner-SR5 Premium-SR5 Premium 4dr SUV 4WD (4.0L 6cyl 5A),23500,22,4841,65293,2020,Toyota,4Runner,,SR5,SR5,SR5 Premium 4dr SUV 4WD (4.0L 6cyl 5A),37825,34799,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23500,SR5 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,,17021.25,15508.249999999998,
2022-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),17904,22,4779,68425,2022,Toyota,Camry,,Hybrid XLE,XLE,XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),30140,27729,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17904,XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,190.9,71.7,5,57.9,109.3,,,6.1,13.1,,3585.0,,,,hybrid,regular unleaded,I4,2.5,200,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,17.0,38,40,37,680,629,,,,,,,,18385.399999999998,13563.0,
2020-4Runner-SR5-SR5 4dr SUV (4.0L 6cyl 5A),23500,22,4841,65293,2020,Toyota,4Runner,,SR5,SR5,SR5 4dr SUV (4.0L 6cyl 5A),33210,30553,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23500,SR5 4dr SUV (4.0L 6cyl 5A),SUV,5,190.2,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4400.0,6100.0,1700.0,4700.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,19,17,22,391,506,,,,,,,,14944.5,13616.099999999999,
2024-4Runner-Limited-Limited 4dr SUV 4WD (4.0L 6cyl 5A),11845,22,4841,71809,2024,Toyota,4Runner,,Limited,Limited,Limited 4dr SUV 4WD (4.0L 6cyl 5A),45660,42006,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11845,Limited 4dr SUV (4.0L 6cyl 5A),SUV,5,190.7,75.8,5,71.5,109.8,,,9.0,47.2,89.7,4525.0,6100.0,1575.0,5000.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,5-speed shiftable automatic,23.0,18,17,21,391,483,,,,,,,,38354.4,27852.6,
2020-Corolla-S Premium-S Premium 4dr Sedan (1.8L 4cyl CVT),23531,22,3917,65281,2020,Toyota,Corolla,,S,S,S Premium 4dr Sedan (1.8L 4cyl CVT),22955,21255,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23531,S 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,37,383,488,,,,,,,,10329.75,9411.55,
2023-Corolla-XSE-XSE 4dr Sedan (1.8L 4cyl CVT),14945,22,3917,70085,2023,Toyota,Corolla,,XSE,XSE,XSE 4dr Sedan (1.8L 4cyl CVT),22780,21093,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,14945,XSE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,6.7,13.0,,2885.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,31,28,35,370,462,,,,,,,,16401.6,11845.6,
2020-Tacoma-TRD PRO-TRD PRO V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 5A),23608,22,5688,65311,2020,Toyota,Tacoma,,TRD Pro,TRD PRO,TRD PRO V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 5A),36705,34411,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23608,TRD PRO V6 4dr Access Cab 4WD 6.1 ft. SB (4.0L 6cyl 6M),Truck (Access Cab),4,208.1,74.6,4,72.1,127.4,,,9.3,,,4105.0,5500.0,1395.0,6500.0,gas,regular unleaded,V6,4.0,236,5200,266.0,4000.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed manual,21.1,17,15,19,317,401,,,,,,,,16517.25,15049.05,
2023-Tacoma-TRD Off Road-TRD Off Road 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),15037,22,5688,70136,2023,Toyota,Tacoma,,TRD Off-Road,TRD Off Road,TRD Off Road 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),33350,30896,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,15037,TRD Off Road 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,75.2,4,70.6,127.4,,,9.4,,,4305.0,5600.0,1295.0,6700.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed automatic,21.1,20,18,22,380,464,,,,,,,,24012.0,17342.0,
2025-Corolla-LE-LE 4dr Sedan (1.8L 4cyl gas/electric hybrid CVT),8891,22,3917,73510,2025,Toyota,Corolla,,Hybrid LE,LE,LE 4dr Sedan (1.8L 4cyl gas/electric hybrid CVT),23100,21389,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8891,LE 4dr Sedan (1.8L 4cyl gas/electric hybrid CVT),Sedan,4,182.5,70.1,5,56.5,106.3,,,5.1,13.1,,2850.0,,,,hybrid,regular unleaded,I4,1.8,121,5200,105.0,3600.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,11.4,52,53,52,604,593,,,,,,,,23100.0,16632.0,
2022-Tacoma-TRD Sport-TRD Sport 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),18000,22,5688,68482,2022,Toyota,Tacoma,,TRD Sport,TRD Sport,TRD Sport 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),34225,32088,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,18000,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,4060.0,5600.0,1540.0,6800.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,20877.25,15401.25,
2021-Tacoma-SR5-SR5 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),20778,22,5688,66875,2021,Toyota,Tacoma,,SR5,SR5,SR5 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),27355,25645,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20778,SR5 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,23,401,485,,,,,,,,14224.6,11694.262499999999,
2023-Tacoma-Limited-Limited 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),15054,22,5688,70133,2023,Toyota,Tacoma,,Limited,Limited,Limited 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),37340,34592,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,15054,Limited 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),Truck (Double Cab),4,212.3,75.2,5,70.6,127.4,,,9.4,,,4230.0,5600.0,1370.0,6500.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,26884.8,19416.8,
2021-Tacoma-TRD Sport-TRD Sport 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),20782,22,5688,66877,2021,Toyota,Tacoma,,TRD Sport,TRD Sport,TRD Sport 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),31125,28837,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20782,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,4060.0,5600.0,1370.0,6800.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,16185.0,13305.9375,
2025-Corolla-SE Nightshade-SE Nightshade 4dr Sedan (2.0L 4cyl CVT),8883,22,3917,73514,2025,Toyota,Corolla,,SE Nightshade,SE Nightshade,SE Nightshade 4dr Sedan (2.0L 4cyl CVT),22750,21065,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8883,SE Nightshade 4dr Sedan (2.0L 4cyl CVT),Sedan,4,182.5,70.1,5,56.5,106.3,,,5.1,13.1,,3110.0,,,,gas,regular unleaded,I4,2.0,169,6600,151.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,34,31,40,409,528,,,,,,,,22750.0,16380.0,
2023-Tacoma-SR5-SR5 4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 6A),15030,22,5688,70135,2023,Toyota,Tacoma,,SR5,SR5,SR5 4dr Access Cab 4WD 6.1 ft. SB (2.7L 4cyl 6A),30250,28360,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,15030,SR5 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,20,23,422,485,,,,,,,,21780.0,15730.0,
2024-Camry-XLE-XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),11866,22,4779,71786,2024,Toyota,Camry,,Hybrid XLE,XLE,XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),32975,30338,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11866,XLE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3571.0,,,,hybrid,regular unleaded,I4,2.5,208,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.0,46,44,47,572,611,,,,,,,,27699.0,20114.75,
2022-Tacoma-SR5-SR5 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),17996,22,5688,68479,2022,Toyota,Tacoma,,SR5,SR5,SR5 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),30145,27926,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17996,SR5 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,23,401,485,,,,,,,,18388.45,13565.25,
2024-Camry-XSE-XSE 4dr Sedan (2.5L 4cyl 8A),11862,22,4779,71791,2024,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (2.5L 4cyl 8A),29725,27051,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11862,XSE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.7,72.4,5,56.9,111.2,,,5.7,15.1,,3395.0,,,,gas,regular unleaded,I4,2.5,206,6600,186.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,16.0,32,28,39,448,624,,,,,,,,24969.0,18132.25,
2021-Tacoma-SR5-SR5 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),20778,22,5688,66875,2021,Toyota,Tacoma,,SR5,SR5,SR5 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),27355,25645,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20778,SR5 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,23,401,485,,,,,,,,14224.6,11694.262499999999,
2022-Tacoma-Limited-Limited 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6A),18020,22,5688,68477,2022,Toyota,Tacoma,,Limited,Limited,Limited 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6A),39250,36362,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,18020,Limited 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),Truck (Double Cab),4,212.3,75.2,5,70.6,127.4,,,9.4,,,4230.0,5600.0,1370.0,6500.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,23942.5,17662.5,
2023-Tacoma-Limited-Limited 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6A),15054,22,5688,70133,2023,Toyota,Tacoma,,Limited,Limited,Limited 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6A),40415,37440,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,15054,Limited 4dr Double Cab 5.0 ft. SB (3.5L 6cyl 6A),Truck (Double Cab),4,212.3,75.2,5,70.6,127.4,,,9.4,,,4230.0,5600.0,1370.0,6500.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,29098.8,21015.8,
2023-Tacoma-TRD PRO-TRD PRO 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),15056,22,5688,70137,2023,Toyota,Tacoma,,TRD Pro,TRD PRO,TRD PRO 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),41720,38663,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,15056,TRD PRO 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),Truck (Double Cab),4,212.3,75.2,5,71.6,127.4,,,9.4,,,4445.0,5600.0,1155.0,6400.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed manual,21.1,18,17,21,359,443,,,,,,,,30038.399999999998,21694.4,
2021-4Runner-TRD PRO-TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),20677,22,4841,66855,2021,Toyota,4Runner,,TRD Pro,TRD PRO,TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),41850,38502,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20677,TRD PRO 4dr SUV 4WD (4.0L 6cyl 5A),SUV,5,191.3,75.8,5,71.5,109.8,,,9.6,46.3,88.8,4750.0,6300.0,1550.0,4900.0,gas,regular unleaded,V6,4.0,270,5600,278.0,4400.0,24,Variable,Double overhead cam (DOHC),four wheel drive,5-speed shiftable automatic,23.0,18,17,21,391,483,,,,,,,,21762.0,17890.875,
2022-Camry-LE-LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),17902,22,4779,68423,2022,Toyota,Camry,,Hybrid LE,LE,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),26790,24647,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17902,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,190.9,71.7,5,57.9,109.3,,,6.1,13.1,,3485.0,,,,hybrid,regular unleaded,I4,2.5,200,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,17.0,40,42,38,714,646,,,,,,,,16341.9,12055.5,
2020-Camry-SE-SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),23524,22,4779,65272,2020,Toyota,Camry,,Hybrid SE,SE,SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),27995,25756,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23524,SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,190.9,71.7,5,57.9,109.3,,,,13.1,,3565.0,,,,hybrid,regular unleaded,I4,2.5,200,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,17.0,40,40,38,680,646,,,,,,,,12597.75,11477.949999999999,
2020-Corolla-LE Premium-LE Premium 4dr Sedan (1.8L 4cyl CVT),23528,22,3917,65279,2020,Toyota,Corolla,,LE,LE,LE Premium 4dr Sedan (1.8L 4cyl CVT),22025,20393,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23528,LE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,38,383,502,,,,,,,,9911.25,9030.25,
2025-Corolla-SE-SE 4dr Sedan (2.0L 4cyl CVT),8881,22,3917,73513,2025,Toyota,Corolla,,SE,SE,SE 4dr Sedan (2.0L 4cyl CVT),22050,20417,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8881,SE 4dr Sedan (2.0L 4cyl CVT),Sedan,4,182.5,70.1,5,56.5,106.3,,,5.1,13.1,,3110.0,,,,gas,regular unleaded,I4,2.0,169,6600,151.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,34,31,40,409,528,,,,,,,,22050.0,15876.0,
2020-Camry-SE-SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),23524,22,4779,65272,2020,Toyota,Camry,,Hybrid SE,SE,SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),27995,25756,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23524,SE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,190.9,71.7,5,57.9,109.3,,,,13.1,,3565.0,,,,hybrid,regular unleaded,I4,2.5,200,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,17.0,40,40,38,680,646,,,,,,,,12597.75,11477.949999999999,
2024-Camry-LE-LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),11864,22,4779,71784,2024,Toyota,Camry,,Hybrid LE,LE,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),28400,26128,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11864,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3472.0,,,,hybrid,regular unleaded,I4,2.5,208,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.0,52,51,53,663,689,,,,,,,,23856.0,17324.0,
2020-Camry-LE-LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),23523,22,4779,65271,2020,Toyota,Camry,,Hybrid LE,LE,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),26790,24647,2023-06-29T21:05:55-04:00,2023-06-29T21:05:55-04:00,23523,LE 4dr Sedan (2.5L 4cyl gas/electric hybrid CVT),Sedan,4,190.9,71.7,5,57.9,109.3,,,,13.1,,3485.0,,,,hybrid,regular unleaded,I4,2.5,200,5700,,,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,17.0,41,43,39,731,663,,,,,,,,12055.5,10983.9,
