hack-id,id,make_id,model_id,submodel_id,year,make,model,series,submodel,trim,description,msrp,invoice,created,modified,trim_id,trim_description,type,doors,length,width,seats,height,wheel_base,front_track,rear_track,ground_clearance,cargo_capacity,max_cargo_capacity,curb_weight,gross_weight,max_payload,max_towing_capacity,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,fuel_tank_capacity,combined_mpg,epa_city_mpg,epa_highway_mpg,range_city,range_highway,battery_capacity_electric,epa_time_to_charge_hr_240v_electric,epa_kwh_100_mi_electric,range_electric,epa_highway_mpg_electric,epa_city_mpg_electric,epa_combined_mpg_electric,estimated_current_cost,expected_value_2027,img_path
2022-Tacoma-TRD Sport-TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),18000,22,5688,68482,2022,Toyota,Tacoma,,TRD Sport,TRD Sport,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),30940,29007,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,18000,TRD Sport 4dr Access Cab 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,4060.0,5600.0,1540.0,6800.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,19,24,401,506,,,,,,,,18873.399999999998,13923.0,
2024-Corolla-XSE-XSE 4dr Sedan (1.8L 4cyl CVT),11873,22,3917,71797,2024,Toyota,Corolla,,XSE,XSE,XSE 4dr Sedan (1.8L 4cyl CVT),22880,21185,2023-06-29T21:01:10-04:00,2023-06-29T21:01:10-04:00,11873,XSE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,6.7,13.0,,2885.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,31,28,35,370,462,,,,,,,,19219.2,13956.8,
2023-Tacoma-TRD Off Road-TRD Off Road 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),15037,22,5688,70136,2023,Toyota,Tacoma,,TRD Off-Road,TRD Off Road,TRD Off Road 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),36925,34208,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,15037,TRD Off Road 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,75.2,4,70.6,127.4,,,9.4,,,4305.0,5600.0,1295.0,6700.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed automatic,21.1,20,18,22,380,464,,,,,,,,26586.0,19201.0,
2021-Camry-XLE-XLE 4dr Sedan (3.5L 6cyl 6A),20691,22,4779,66835,2021,Toyota,Camry,,XLE,XLE,XLE 4dr Sedan (3.5L 6cyl 6A),31370,28547,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20691,XLE 4dr Sedan (2.5L 4cyl 6A),Sedan,4,190.9,71.7,5,57.9,109.3,,,6.1,15.4,,3340.0,,,,gas,regular unleaded,I4,2.5,178,6000,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,17.0,28,25,35,425,595,,,,,,,,16312.400000000001,13410.675,
2023-Tacoma-SR5-SR5 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),15030,22,5688,70135,2023,Toyota,Tacoma,,SR5,SR5,SR5 4dr Double Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),35040,32461,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,15030,SR5 4dr Access Cab 6.1 ft. SB (2.7L 4cyl 6A),Truck (Access Cab),4,212.3,74.4,4,70.6,127.4,,,9.4,,,3980.0,5600.0,1620.0,3500.0,gas,regular unleaded,I4,2.7,159,5200,180.0,3800.0,16,Variable,Double overhead cam (DOHC),rear wheel drive,6-speed automatic,21.1,21,20,23,422,485,,,,,,,,25228.8,18220.8,
2021-Camry-XSE-XSE 4dr Sedan (3.5L 6cyl 6A),20689,22,4779,66836,2021,Toyota,Camry,,XSE,XSE,XSE 4dr Sedan (3.5L 6cyl 6A),31370,28547,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20689,XSE 4dr Sedan (2.5L 4cyl 6A),Sedan,4,190.9,71.7,5,57.9,109.3,,,6.1,15.4,,3350.0,,,,gas,regular unleaded,I4,2.5,178,6000,170.0,4100.0,16,Variable,Double overhead cam (DOHC),front wheel drive,6-speed shiftable automatic,17.0,28,25,35,425,595,,,,,,,,16312.400000000001,13410.675,
2025-Camry-LE-LE 4dr Sedan AWD (2.5L 4cyl 8A),8860,22,4779,73504,2025,Toyota,Camry,,LE,LE,LE 4dr Sedan AWD (2.5L 4cyl 8A),26370,24129,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8860,LE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3296.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,32,28,39,442,616,,,,,,,,26370.0,18986.399999999998,
2025-Corolla-L-L 4dr Sedan (1.8L 4cyl CVT),8879,22,3917,73511,2025,Toyota,Corolla,,L,L,L 4dr Sedan (1.8L 4cyl CVT),19600,18522,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8879,L 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.3,70.1,5,56.5,106.3,,,5.1,13.1,,2910.0,,,,gas,regular unleaded,I4,1.8,139,6100,126.0,3900.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,33,30,38,396,502,,,,,,,,19600.0,14112.0,
2023-Tacoma-TRD Off Road-TRD Off Road 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),15037,22,5688,70136,2023,Toyota,Tacoma,,TRD Off-Road,TRD Off Road,TRD Off Road 4dr Double Cab 4WD 5.0 ft. SB (3.5L 6cyl 6M),34685,32132,2023-06-29T21:02:20-04:00,2023-06-29T21:02:20-04:00,15037,TRD Off Road 4dr Access Cab 4WD 6.1 ft. SB (3.5L 6cyl 6A),Truck (Access Cab),4,212.3,75.2,4,70.6,127.4,,,9.4,,,4305.0,5600.0,1295.0,6700.0,gas,regular unleaded,V6,3.5,278,6000,265.0,4600.0,24,Variable,Double overhead cam (DOHC),four wheel drive,6-speed automatic,21.1,20,18,22,380,464,,,,,,,,24973.2,18036.2,
2025-Camry-LE-LE 4dr Sedan AWD (2.5L 4cyl 8A),8860,22,4779,73504,2025,Toyota,Camry,,LE,LE,LE 4dr Sedan AWD (2.5L 4cyl 8A),26370,24129,2023-06-29T21:00:02-04:00,2023-06-29T21:00:02-04:00,8860,LE 4dr Sedan (2.5L 4cyl 8A),Sedan,4,192.1,72.4,5,56.9,111.2,,,5.7,15.1,,3296.0,,,,gas,regular unleaded,I4,2.5,203,6600,184.0,5000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,8-speed shiftable automatic,15.8,32,28,39,442,616,,,,,,,,26370.0,18986.399999999998,
