hack-id,id,make_id,model_id,submodel_id,year,make,model,series,submodel,trim,description,msrp,invoice,created,modified,trim_id,trim_description,type,doors,length,width,seats,height,wheel_base,front_track,rear_track,ground_clearance,cargo_capacity,max_cargo_capacity,curb_weight,gross_weight,max_payload,max_towing_capacity,engine_type,fuel_type,cylinders,size,horsepower_hp,horsepower_rpm,torque_ft_lbs,torque_rpm,valves,valve_timing,cam_type,drive_type,transmission,fuel_tank_capacity,combined_mpg,epa_city_mpg,epa_highway_mpg,range_city,range_highway,battery_capacity_electric,epa_time_to_charge_hr_240v_electric,epa_kwh_100_mi_electric,range_electric,epa_highway_mpg_electric,epa_city_mpg_electric,epa_combined_mpg_electric
2016-Corolla-S Plus-S Plus 4dr Sedan (1.8L 4cyl CVT),20701,22,3917,66840,2016,Toyota,Corolla,,S,S,S Plus 4dr Sedan (1.8L 4cyl CVT),20065,18578,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20701,S 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,5.5,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,37,383,488,,,,,,,
2016-Corolla-S Plus-S Plus 4dr Sedan (1.8L 4cyl 6M),20701,22,3917,66840,2016,Toyota,Corolla,,S,S,S Plus 4dr Sedan (1.8L 4cyl 6M),21665,20059,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20701,S 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,5.5,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,37,383,488,,,,,,,
2016-Corolla-S Premium-S Premium 4dr Sedan (1.8L 4cyl CVT),20701,22,3917,66840,2016,Toyota,Corolla,,S,S,S Premium 4dr Sedan (1.8L 4cyl CVT),23125,21413,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20701,S 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,5.5,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,37,383,488,,,,,,,
2016-Corolla-Special Edition-Special Edition 4dr Sedan (1.8L 4cyl CVT),20705,22,3917,66841,2016,Toyota,Corolla,,Special Edition,Special Edition,Special Edition 4dr Sedan (1.8L 4cyl CVT),20635,19106,2023-06-29T21:04:44-04:00,2023-06-29T21:04:44-04:00,20705,Special Edition 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,5.6,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,29,37,383,488,,,,,,,
2017-Corolla-50th Anniversary Special Edition-50th Anniversary Special Edition 4dr Sedan (1.8L 4cyl CVT),17912,22,3917,68430,2017,Toyota,Corolla,,50th Anniversary Special Edition,50th Anniversary Special Edition,50th Anniversary Special Edition 4dr Sedan (1.8L 4cyl CVT),21900,20278,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17912,50th Anniversary Special Edition 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,5.6,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,31,28,35,370,462,,,,,,,
2017-Corolla-L-L 4dr Sedan (1.8L 4cyl CVT),17905,22,3917,68431,2017,Toyota,Corolla,,L,L,L 4dr Sedan (1.8L 4cyl CVT),18500,17484,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17905,L 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2820.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,28,36,370,475,,,,,,,
2017-Corolla-LE-LE 4dr Sedan (1.8L 4cyl CVT),17906,22,3917,68432,2017,Toyota,Corolla,,LE,LE,LE 4dr Sedan (1.8L 4cyl CVT),18935,17532,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17906,LE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,32,28,36,370,475,,,,,,,
2017-Corolla-LE Eco-LE Eco 4dr Sedan (1.8L 4cyl CVT),17907,22,3917,68433,2017,Toyota,Corolla,,LE Eco,LE Eco,LE Eco 4dr Sedan (1.8L 4cyl CVT),19335,17903,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17907,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,34,30,40,396,528,,,,,,,
2017-Corolla-LE Eco w/Premium Package-LE Eco w/Premium Package 4dr Sedan (1.8L 4cyl CVT),17907,22,3917,68433,2017,Toyota,Corolla,,LE Eco,LE Eco,LE Eco w/Premium Package 4dr Sedan (1.8L 4cyl CVT),21300,19706,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17907,LE Eco 4dr Sedan (1.8L 4cyl CVT),Sedan,4,182.6,69.9,5,57.3,106.3,,,5.5,13.0,,2855.0,,,,gas,regular unleaded,I4,1.8,140,6100,126.0,4000.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,34,30,40,396,528,,,,,,,
2017-Corolla-SE-SE 4dr Sedan (1.8L 4cyl CVT),17908,22,3917,68434,2017,Toyota,Corolla,,SE,SE,SE 4dr Sedan (1.8L 4cyl CVT),20445,18930,2023-06-29T21:03:33-04:00,2023-06-29T21:03:33-04:00,17908,SE 4dr Sedan (1.8L 4cyl CVT),Sedan,4,183.1,69.9,5,57.3,106.3,,,5.6,13.0,,2865.0,,,,gas,regular unleaded,I4,1.8,132,6000,128.0,4400.0,16,Variable,Double overhead cam (DOHC),front wheel drive,continuously variable-speed automatic,13.2,31,28,35,370,462,,,,,,,
